 15#"Kaimur District Consumer Disputes Redressal Commission"#"SDO Compound, Kaimur  (Bhabhua) – 821106"#"06189-224439"    
 16#"Katihar District Consumer Disputes Redressal Commission"#"Collectorate Compound,  Katihar-854105"#"06452-239234"    
 17#"Khagaria District Consumer Disputes Redressal Commission"#"Collectorate Compound, Khagaria   "#"06244-226452"    
 18#"Kishanganj District Consumer Disputes Redressal Commission"#"Collectorate Compound, Kishanganj-855107"#"06456-226140"    
 19#"Lakhisarai District Consumer Disputes Redressal Commission"#"Collectorate Compound, Lakhisarai"#"06346-233033"    
 20#"Madhepura District Consumer Disputes Redressal Commission"#"Collectorate Compound,  Madhepura"#"06476-224967"    
 21#"Madhubani District Consumer Disputes Redressal Commission"#"Collectorate Compound, Madhubani"#"06276-226845"    
 22#"Motihari District Consumer Disputes Redressal Commission"#"Collectorate Compound, Motihari - 845401"#"06252-234126"    
 23#"Munger District Consumer Disputes Redressal Commission"#"Court Area, Munger-811201"#"06344-222076"    
 24#"Muzaffarpur District Consumer Disputes Redressal Commission"#"Collectorate Office, Behind SP Office, Muzaffarpur-800002"#"0621-2210609"    
 25#"Nalanda District Consumer Disputes Redressal Commission"#"Near SDO Compound, Biharsharif (Nalanda)-803101"#"06112-237629"    
 26#"Nawadah District Consumer Disputes Redressal Commission"#"Collectorate Compound, Nawadah-805130"#"06324-210355"    
 27#"Patna District Consumer Disputes Redressal Commission   "#"Below State Commission Consumer Protection, Bihar,  Patna, R-Block Road No.2,  Daroga Rai Path, Patna-800001   "#"0612-2221896"    
 28#"Purnea District Consumer Disputes Redressal Commission"#"Collectorate Campus,  Purnia-854301"#"06454-241699"    
 29#"Rohtas District Consumer Disputes Redressal Commission"#"Collectorate Compound, Beside GPF Office, Rohtas-802212"#"06184-227591"    
 30#"Saharsa District Consumer Disputes Redressal Commission"#"Collectorate Campus,  Saharsa-852201"#"06478-222500"    
 31#"Samastipur District Consumer Disputes Redressal Commission"#"Near Collectorate,  Samastipur-848101"#"06274-221431           "    
 32#"Saran (Chapra) District Consumer Disputes Redressal Commission"#"Opp. Collectorate,  Chapra (Saran)-841301   "#"06152-244156"    
 33#"Shekhpura District Consumer Disputes Redressal Commission"#"Collectorate Campus,  Shekhpura-811105"#"06341-223410"    
 34#"Sheohar District Consumer Disputes Redressal Commission"#"In front of Treasury,  Sheohar – 843329"#"06222-257195"    
 35#"Sitamarhi District Consumer Disputes Redressal Commission"#"Collectorate Compound,  Sitamarhi-843301"#"06226-255055"    
 36#"Siwan District Consumer Disputes Redressal Commission"#"Collectorate Compound,  Siwan -841226"#"06154-243002"    
 37#"Supaul District Consumer Disputes Redressal Commission"#"Civil Court Campus,  Saharsa – 852201"#"06473-225426"    
 38#"Vaishali District Consumer Disputes Redressal Commission"#"Block Campus, Vaishali  (Hajipur) - 844114"#"06224-276014"     
 "Chandigarh (UT)    
 1#"District Consumer Disputes Redressal Commission-I  UT Chandigarh"#"1st Floor, Plot No.5-B,  Sector – 19 B,  Madhya Marg,  Chandigarh – 160019"#"0172-2700172"    
 2#"District Consumer Disputes Redressal Commission-II UT Chandigarh"#"2nd Floor, Plot No.5-B,                Sector – 19 B,  Madhya Marg,  Chandigarh – 160019"#"0172-2700179"     
 "Chhattisgarh"    
 1#"Raipur District Consumer Disputes Redressal Commission"#"Raipur"#"0771-2583368"    
 2#"Bilaspur District Consumer Disputes Redressal Commission      "#"Bilaspur   "#"07752-226113"    
 3#"Durg District Consumer Disputes Redressal Commission"#"Durg"#"0788-2328507"    
 4#"Rajnandgaon District Consumer Disputes Redressal Commission"#"Rajnandgaon"#"07744-227344"    
 5#"Sarguja District Consumer Disputes Redressal Commission"#"Sarguja-Ambikapur"#"07774-235094"    
 6#"Bastar District Consumer Disputes Redressal Commission"#"Bastar-Jagdalpur"#"07782-231082"    
 7#"Korba District Consumer Disputes Redressal Commission"#"Korba"#"07759-228422"    
 8#"Koriya District Consumer Disputes Redressal Commission"#"Koriya-Baikunthpur"#"07836-233344"    
 9#"Dhamtari District Consumer Disputes Redressal Redressal Commission"#"Dhamtari"#"--"    
 10#"Janjgir District Consumer Disputes Redressal Commission"#"Janjgir-Champa"#"07817-222409"    
 11#"Kabirdham District Consumer Disputes Redressal Commission"#"Kabirdham"#"07741-233021"    
 12#"Raigarh District Consumer Disputes Redressal Commission"#"Raigarh   "#"07762-223733"     
"Daman & Diu and Dadra & Nagar Havelli" 
 1#"Daman District Consumer Disputes Redressal Commission"#"Office Of The Collector  Civil Supplies Department  Collectorate, Fort Area  Moti Daman 396220"#"0260-2230698"    
 2#"Diu District Consumer Disputes Redressal Commission"#"Office Of The Collector  Civil Supplies Department  Collectorate, Diu 362520"#"02875-252444"
"Delhi"    
 1#"North Delhi District Consumer Disputes Redressal Commission"#"Room No.2 & 3, Old Civil  Supply Building, Tis Hazari,  Delhi – 110054   "#"011-23912675  011-23969372"    
 2#"South Delhi – I District Consumer Disputes Redressal Commission"#"C-22 & 23, Udyog Sadan,  Qutub Institutional Area,  Behind Qutub Hotel,  Mehrauli, Delhi"#"011-26565666  011-26961433"    
 3#"West Delhi District Consumer     Disputes Redressal Commission"#"C-Block, Community Centre,  Pankha Road, Janak Puri,  New Delhi"#"011-25541281  011-25505036"    
 4#"North East Delhi District Consumer Disputes Redressal Commission"#"Bunkar Vihar Complex  (Weavers Complex),  Nand Nagri, Delhi"#"011-22121591  011-22124114"    
 5#"North West Delhi District Consumer Disputes Redressal Commission"#"Convenient Shopping Centre,  Block-C, Pocket-C,  Shalimar Bagh, Delhi   "#"011-27494833  011-27492650"    
 6#"East Delhi District Consumer Disputes Redressal Commission"#"Convenient Shopping Centre,  Saini Enclave, Delhi"#"011-22373093  011-22379588"    
 7#"South Delhi – II District Consumer Disputes Redressal Commission"#"C-22 & 23, Udyog Sadan,  Qutub Institutional Area,  Behind Qutub Hotel,  Mehrauli, Delhi"#"011-26533073  011-26533014"    
 8#"Central Delhi District Consumer Disputes Redressal Commission"#"Mezannine Floor,  ISBT, Kashmere Gate,  Delhi"#"011-23866727  011-23866728"    
 9#"New Delhi District Consumer Disputes Redressal Commission"#"Ist Floor, M Block,  Vikash Bhawan, ITO,  New Delhi-110002"#"011-23378114"    
 10#"South West Delhi District Consumer Disputes Redressal Commission"#"1st Floor, Pandit Deep Chand  Sharma Sahekaar Bhawan,  Sector 20, Phast-I, Dwarka,  Delhi"#"011-28050114"     
 "Goa"  
 1#"North Goa District Consumer Disputes Redressal Commission"#"North Goa, FF 1, Housing  Board Commercial cum  Residential Complex,  Alto Porvorim, Goa"#"0832-2411148   "    
 2#"South Goa District Consumer Disputes Redressal Commission"#"South Goa, Blessing Pioneer Commercial Complex, First Floor,  Margao-Goa"#"0832-2713073   "     
 "Guajrat"  
 1#"Ahmedabad (City) District Consumer Disputes Redressal Commission"#"Grahak Bhavan,  Nr. Gota Cross Road,  S. G. Highway, Gota,  Ahmedabad – 380061"#"02717-242539 "    
 2#"Ahmedabad (Additional)            District Consumer Disputes Redressal Commission"#"Grahak Bhavan,  Nr. Gota Cross Road,  S. G. Highway, Gota,  Ahmedabad – 380061   "#"02717-241612"    
 3#"Ahmedabad (Rural) District Consumer Disputes Redressal Commission"#"Grahak Bhavan, Nr. Gota  Cross Road, S. G. Highway,  Gota, Ahmedabad – 380061   "#"0717-241612"    
 4#"Gandhinagar District Consumer Disputes  Redressal Commission"#"7th Floor, Gilla Seva Sadan,  M. S. Building, Nr. Pathikashram  Gandhinagar"#"079232-48284"    
 5#"Sabarakantha District Consumer Disputes  Redressal Commission"#"Nr. RTO Office, Himmatnagar,  Vijapur Highway, Sargadh, Himantnagar"#"0277-2223378"    
 6#"Mahesana District Consumer Disputes Redressal Commission"#"Nr. Lakhavad, Mehsana Himatnagar Highway, Mehsana"#"02762-221322"    
 7#"Banaskantha District Consumer Disputes Redressal Commission"#"½ RRP Building,  Jorawar Palace,  Palanpur,  District Banaskantha"#"0274-2254138"    
 8#"Rajkot (Main) District Consumer Disputes Redressal Commission"#"Old Collector Office Compound, Railway Junction Road,  Rajkot - 360001"#"0281-2474565"    
 9#"Rajkot (Addl.) District Consumer Disputes Redressal Commission"#"Old Collector Office Compound, Railway Junction Road,  Rajkot – 360001"#"0281-2478723"    
 10#"Surat (Main) District Consumer Disputes Redressal Commission"#"Nr. S. M. Quarters, Beside Ekta Society, Umra, Surat"#"0261-2213321"    
 11#"Surat (Addl.) District Consumer Disputes Redressal Commission"#"Nr. S. M. Quarters, Beside Ekta Society, Umra, Surat"#"0261-2213323"    
 12#"Anand District Cosnumer Disputes Redressal Commission"#"Sarakri Godaun, Nr. District Judge  Bunglow, Borsad Cross Road, Anand"#"02692-260422"    
 13#"Patan District Consumer Disputes Redressal Commission"#"B/H Saradar Complex, Nr. Information Office, Patan - 384265"#"02766-233339"    
 14#"Jamnagar District Consumer Disputes Redressal Commission"#"Sarakari Anaj Godown Compound, Valsura Road, Badeshwar, Jamnagar"#"0288-2750002"    
 15#"Amareli District Consumer Disputes Redressal Commission"#"Rajmahal Compound, B/H M.S. Building, Nr. Dr. Ambedkar Bhavan,  Amareli"#"02792-230625"    
 16#"Bhavnagar Distrct Consumer Disputes Redressal Commission"#"Opp. H. J. Law College, Nr. Gilla Udhyog Kendra,  Bhavnagar – 364001"#"0278-2422726"    
 17#"Surendranagar District Consumer Disputes Redressal Commission"#"Ayurvedic Hospital Compound, Nr. Swamionarayan Mandir, Jawahar Road, Surendranagar"#"02752-282142"    
 18#"Junagadh District Consumer Disputes Redressal Commission"#"Sambhavith Building, Nr.Behra Munga School, Samaj Suraksha Compound, Mejwadi Gate, Junagadh- 362001"#"0285-2625593"    
 19#"Vadodara (Main) District            Consumer Disputes Redressal Commission"#"Kareli Baug, Nr. Prerak Bunglows. Pani Tanki Road, Vadodara   "#"0265 – 2464194"    
 20#"Vadodara (Addl) District Consumer Disputes Redressal Commission"#"Kareli Baug, Nr. Prerak Bunglows. Pani Tanki Road, Vadodara"#"0265 – 2464196"    
 21#"Godhra District Consumer Disputes Redressal Commission"#"Satyam Society, Bamroli, Godhara - 389001"#"02672-246016"    
 22#"Kheda District Consumer Disputes Redressal Commission"#"Labour Court Compound, Nr. Collector Office, Nadiyaad, Distt. Kheda   "#"0268-2569301"    
 23#"Bharuch District Consumer Disputes Redressal Commission"#"Office No.132 to 135, 1st Floor, Poonam Plaza Building, Nr. Relief Cinema, Bharuch"#"0264-2251604"    
 24#"Navsari District Consumer Disputes Redressal Commission   "#"Nr. Gujarat State Civil Supplies Corp. Ltd. Godown, Limda Chowk, Jalapur Station Road, Navasari      "#"0263-7286251"    
 25#"Valasad District Consumer Disputes Redressal Commission"#"Nr. Vegetable Market, Opp. Sejal Gas Agency, Valasad"#"0263-2242824"    
 26#"Katchh-Bhuj District Consumer Disputes Redressal Commission"#"B/H M. S. Building, Nr. Juleleal Society, Kutch-Bhuj - 370001"#"02832-250723"     
 "Haryana"  
 1#"Ambala District Consumer Disputes Redressal Commission"#"Old SDM Office, Near DC Office, Ambala"#"0171-2534370"    
 2#"Bhiwani District Consumer Disputes Redressal Commission"#"Near Hindustan Gum Factory, Rajiv colony, Bhiwani"#"01664-246544"    
 3#"Charkhi Dadri District Consumer Disputes Redressal Commission"#"in the building of District Bar Association, Charkhi Dadri"#"--"    
 4#"Faridabad District Consumer Disputes Redressal Commission   "#"Room No. 202, Mini Secretariat,  Sector-12 , Faridabad   "#"0129-2262290"    
 5#"Fatehabad District Consumer Disputes Redressal Commission"#"Court Room No. 8, Judicial Complex,  Fatehabad"#"01667-230100"    
 6#"Gurgaon District Consumer Disputes Redressal Commission"#"Vikas Sadan, Gurgaon   "#"0124-2330220"    
 7#"Hisar District Consumer Disputes Redressal Commission"#"Mini Secretariat Campus, Hisar   "#"01662-233104"    
 8#"Jind District Consumer Disputes Redressal Commission"#"Room No.4-8, Old Mini Secretariat,  Near Judicial Complex, Jind"#"01681-247100"    
 9#"Jhajjar District Consumer Disputes Redressal Commission"#"Judicial Complex, Jhajjar   "#"01251-256767"    
 10#"Kaithal District Consumer Disputes Redressal Commission"#"3rd Floor, Room No. 24, Old Mini Secretariat, Kaithal"#"01746-235199"    
 11#"Karnal District Consumer Disputes Redressal Commission"#"2nd Floor, New Judicial Complex,  Karnal"#"0184-2267887"    
 12#"Kurukshetra District Consumer Disputes Redressal Commission"#"Judicial Complex, Phase-II, Kurukshetra"#1744223220    
 13#"Mewat District Consumer Disputes Redressal Commission"#"Development Authorities Residential Colony, Behind BSNL Office, Mewat"#"01267-274100"    
 14#"Narnaul District Consumer Disputes Redressal Commission"#"Mini Secretariat Judicial Complex, Narnaul"#"01282-256318"    
 15#"Panipat District Consumer          Disputes Redressal Commission"#"Mini Secretariat Room No. 508-513, 5th Floor, Panipat"#"0180-2659701"    
 16#"Panchkula District Consumer Disputes Redressal Commission"#"SCO-208, Sector-14, Panchkula   "#"0172-2972000"    
 17#"Palwal District Consumer Disputes Redressal Commission"#"Behind PWD Rest House Public  Health Camp Office, Palwal"#"01275-298121"    
 18#"Rohtak District Consumer Disputes Redressal Commission"#"Mini Secretariat, Rohtak   "#"01262-245550"    
 19#"Rewari District Consumer Dipsutes Redressal Commission"#"District Bar Association, 1st Floor,  Judicial Complex, Rewari   "#"01274-222731"    
 20#"Sonepat District Consumer Disputes Redressal Commission"#"Malik Colony, Near Judicial Complex, Sonepat   "#"0130-2222196"    
 21#"Sirsa District Consumer Disputes Redressal Commission"#"Near Main Gate Mini Secretariat, Sirsa"#"01666-247800"    
 22#"Yamuna Nagar District Consumer Disputes            Redressal Commission"#"Near Judicial Complex,  Jagadhari, Yamuna Nagar"#"01732-227400"     
 "Himachal Pradesh"
 1#"District Consumer Disputes Redressal Commission"#"SDA Complex Block No.33, Kasumpti Shimla HP- 171009"#"0177-2628988"    
 2#"District Consumer Disputes Redressal Commission"#"Mandi DC Office Complex Phase-II, 1st Floor, District Mandi HP -175001"#"01905-223770"    
 3#"District Consumer Disputes Redressal Commission"#"Una District Una HP – 174303"#"01975-225801"    
 4#"District Consumer Disputes Redressal Commission"#"Kangra at Dharamshala District Kangra HP-176215"#"01892-224381"     
 "Jammu & Kashmir"    
 1#"Jammu District Consumer Disputes Redressal Commission"#"Jammu"#"0191 – 533137"    
 2#"Kathua District Consumer Disputes Redressal Commission"#"Kathua"#"01922 – 234209"    
 3#"Udhampur District Consumer Disputes Redressal Commission"#"Udhampur"#"01922 – 271866"    
 4#"Doda (Baderwah) District Consumer Disputes Redressal Commission"#" Doda (Baderwah)"#"01997 – 244232"    
 5#"Rajouri District Consumer Disputes Redressal Commission"#"Rajouri"#"01962 – 263316"    
 6#"Poonch District Consumer Disputes Redressal Commission"#"Poonch   "#"01965 – 220104"    
 7#"Samba District Consumer Disputes Redressal Commission"#"Samba"#"01923 – 243712"    
 8#"Reasi District Consumer            Disputes Redressal Commission"#"Reasi"#"01991 – 244203"    
 9#"Kishtwar District Consumer Disputes Redressal Commission"#"Kishtwar   "#"01995 – 259425"    
 10#"Ramban District Consumer Disputes Redressal Commission"#"Ramban   "#"01998 – 266415"    
 11#"Srinagar District Consumer Disputes Redressal Commission"#"Srinagar   "#"0194  – 2452912"    
 12#"Anantnag District Consumer Disputes Redressal Commission"#"Anantnag   "#"01932 – 222327"    
 13#"Pulwama District Consumer Disputes Redressal Commission"#"Pulwama   "#"01933 – 241246"    
 14#"Budgam District Consumer Disputes Redressal Commission"#"Budgam"#"01951 – 255248 "    
 15#"Baramulla District Consumer Disputes Redressal Commission"#"Baramulla"#"01952 – 243261"    
 16#"Kupwara District Consumer Disputes Redressal Commission"#"Kupwara"#"01955 – 252344"    
 17#"Bandipora District Consumer Disputes Redressal Commission"#"Bandipora"#"01957 – 225027"    
 18#"Ganderbal District Consumer Disputes Redressal Commission"#"Ganderbal"#"0194 – 2416343"    
 19#"Shopian District Consumer Disputes Redressal Commission"#"Shopian"#"01933 – 261884"    
 20#"Kulgam District Consumer Disputes Redressal Commission"#"Kulgam"#"01931 – 260105"    
 21#"Leh District Consumer Disputes Redressal Commission"#"Leh"#"01982 – 252277"    
 22#"Kargil District Consumer            Disputes Redressal Commission"#"Kargil"#"01985 – 232248"     
 "Jharkhand"    
 1#"Deoghar District Consumer Disputes Redressal Commission"#"Collectorate Campus, Deoghar – 814112"#"--"    
 2#"Palamau District Consumer Disputes Redressal Commission"#"Collectorate Campus, Palamau 822101"#"--"    
 3#"Pakur District Consumer Disputes Redressal Commission"#"D.C. Office Campus, Pakur – 816107"#"--"    
 4#"Koderma District Consumer Disputes Redressal Commission"#"Collectorate Campus, Deoghar 825410"#"--"    
 5#"Hazaribagh District Consumer Disputes Redressal Commission"#"Collectorate Campus, Hazaribagh 825301"#"--"    
 6#"Ramgarh District Consumer Disputes Redressal Commission"#"Civil Court Campus, Ramgarh 829122"#"--"    
 7#"Chaibasa West Singhbum District Consumer Disputes Redressal Commission"#"Collectorate Campus, Chaibasa West Singhbhum 833201   "#"--"    
 8#"Sahebganj District Consumer Disputes Redressal Commission"#"Collectorate Campus, Sahebganj 816109"#"--"    
 9#"Bokaro District Consumer Disputes Redressal Commission"#"Collectorate Campus, Bokaro – 827001"#"--"    
 10#"Dhanbad District Consumer Disputes Redressal Commission"#"Collectorate Campus, Dhanbad 826001"#"--"    
 11#"Giridih District Consumer Disputes Redressal Commission"#"Near Collectorate Campus, Giridih 815301"#"--"    
 12#"Khunti District Consumer Disputes Redressal Commission"#"Collectorate Campus, Khunti 835210   "#"--"    
 13#"Jamshedpur East Singhbhum District Consumer Disputes Redressal Commission"#"Sakchi Court Campus, Sakchi East Singhbhum 831001   "#"--"    
 14#"Latehar District Consumer Disputes Redressal Commission"#"Near SDM Office, Latehar 829206   "#"--"    
 15#"Ranchi District Consumer Disputes Redressal Commission"#"Near Ranchi High Court, Doranda Bazar, Doranda, Ranchi 834002"#"--"    
 16#"Lohardaga District Consumer Disputes Redressal Commission"#"Collectorate Campus, Lohardaga 835302"#"--"    
